Note;Commentaire
5;il hydrate bien la peau sèche
4;bien
5;love it
5;good
5;La meilleure
1;voila
4;🤍
5;La peau demeure bien hydratée grâce à cette huile qui la nettoie parfaitement ! 😍
4;!
5;the best
4;Je l’utilise pour ma fille atteinte d’eczema afin de l’hydrater et pas avoir la peau sèche
5;♥️♥️♥️♥️
5;top
5;excellent produit, je l’ai acheté plusieurs fois pendant des années, je l’ai changé une fois mais je suis revenue vers lui , et je ne le changerai pas!
4;le meilleur
5;meilleur baume à lévres du monde!
4;tayara
4;b1
5;mezel andkom menou?
5;encore dispo??
5;mezel andkom menou?
5;mche maya alekher
5;dispo?
5;Je recommande bientôt
5;top
4;good
5;super
5;J’utilise la gamme cerave depuis 3 années, j’ai la peau sèche à sensible, cette crème moussante est juste parfaite, elle netoie la peau en profondeur et laisse la peau bien hydrater et lisse
5;The perfect cleanser ever
5;Good quality.
4;Excellent
4;Wow
5;après une semaine d’utilisation matin et soir, je constate une amélioration de mes cernes bleues, avec une bonne hydratation
4;super
2;les crèmes yeux sont une arnaque
4;Top
3;SUPER
5;ejebni bech nawed menou
5;bonne marque
5;super bien
5;❤️❤️❤️❤️❤️
3;à essayer
3;mon médecin m’a recommandé ce produit pour éviter la formation des tâches puisque m’a peau a tendance à produire des tâches
4;Excellente, je l’ai utilisé en traitement pour mon visage, cette crème m’a été recommandé par le dermato, et elle était excellente
5;Top quality , aawnetni barcha maa mon peau sèche
5;meilleur crème hydratante
5;top
5;top
5;Good quality
5;creme hydratante legere tres efficae pour une peau sensible
5;Ça donne la meilleure hydratation 😍
5;efficace
3;le produit hydrate tres bien mais j’ai pas aimé l’odeur du produit.
4;pour une bonne hydratation
5;je recommande
5;good quality
4;jarabtou mahleh
4;coup de coeur
5;machkour
5;C UN BON PRODUIT
5;good
5;excellent pour peaux mixtes à grasses
3;👍​👍​
5;Une tuerie
5;tayara
5;top du top
5;😀
5;Qualité top !!
4;tahfoun l acné
5;prévient les boutons super
5;Le meilleur pour peau sensible
5;je recommande vivement !!
5;le produit est top
5;nekmandi dima menou behi
5;top
4;Le meilleur pour éliminer les boutons
5;Top
4;Bon produit qui atténue les imperfections, donne une belle mine mais je n’ai pas remarqué un grand changement par rapport aux pores dilatés
4;haja top
4;skin saver
5;lisse la peau
5;top top top
2;may3mil chay
2;aucun effet
1;Aucun effet pour moi
5;❤️
5;le meilleur
4;top
5;je l’utilise depuis des années , super produit
4;tres bien
4;Top🩷
4;tayara
5;good
3;svr top
2;très moyen
5;the best
4;très efficace
4;Bien
3;♥️♥️♥️
5;Good quality.
5;Good
5;Prix imbattable
4;efficace
5;bien
4;bien
4;Parfait
5;le meilleur des gels nettoyant pour peau mixte
4;il est bien mais trop cher par rapport au format normal
4;Top
4;efficace
4;good
4;good
5;recharge super pratique
4;DEFILITLY GONNA BUY IT AGAIN
5;je vais surement le prendre encore plusieurs fois il est trop pratique
2;Ps mal
5;yes
5;❤️❤️
5;❤️❤️❤️
4;topp
4;wawww
5;toppp
5;❤️❤️❤️❤️
5;convient aux peaux grasse,  n’irrite pas la peau
4;rapport qualité-prix
4;hakeka w bara
5;top
5;le meilleur
4;top
5;top du top !
5;Bon produit
5;Good quality.
5;c’est la meilleure eau micellaire.
5;Mon préféré
5;c mon coup de coeur
5;<3 <3
5;excellent produit et pas cher du tout
5;l’une des meilleur eau micellaire que j’ai essayé
5;perfect
5;top
4;excellent produit et pas cher du tout
5;Efficace, très bon produit
2;top
4;c le meilleure démaquillant
5;best product 🥰
5;bon produit
4;douces et rafraichissantes
4;les meilleures
3;bien
3;ça donne un coup d’éclat
4;top
4;super produit!
4;wow
5;perfect
5;tooop
1;Useless
5;Top ce produit
4;top
4;cv
2;donne une fraîcheur
4;il est bien
3;TOP
5;bon produit
5;efficace
5;efficace
5;pas mal
3;il fait l’affaire
5;efficace
5;Top
5;good
4;Good one
5;excellent
3;Bon
4;good
3;c vas
5;Super
4;khthitou ejebni !
5;tahfoun wmche maya
4;bon produit
4;magnifique
5;j’adore ce produit efficace,douc et adorable pour une peau éclatante au quotidien
5;mon gel nettoyant préféré
3;Hé recommande
5;Topp
5;super produit
5;top
3;Je recommande
5;top
3;top
5;behi
5;je recommande
5;je recommande
4;mcha m3aya w ma ychai7ch l wejh
5;top je l’utilise toujours
3;Top inadhef bellgdé
5;Je continue à acheter ce produit
5;mezel andkom menou?
5;nheb nzid nekhou
4;nesta3mel fih mche maya
5;le prix tayara
5;j’aime
3;j’ai adoré
5;Incr pour les peaux sensibles !
3;bien
5;😍
5;❤️❤️❤️❤️
4;❤️
5;<3 <3 <3 <3
4;😍😍😍
3;daloul
2;bien
5;mahleh efficace
4;good
5;top
5;c produit est juste magnifique… j’ai la peau sensible ❤️❤️
5;exellent
4;svr is on top
4;j’adore
5;Good
4;Leger. Bien
5;bien
3;lègére sur la peau
5;Très pratique
5;Super
5;super
5;good
5;top
5;ideal pour l’été
4;magnifique
5;raw3a
3;magnifique
5;rafraîchissant
5;mahleh
5;The best 🤩
5;Le meilleur 🤩
5;best product
5;tayara
4;🤩🤩🤩
5;TOP
5;Good!
5;qualité
5;un produit parfait et surtout qui n’est pas gras
4;parfait
5;<3
4;<3 j'aimeee
5;Good
3;superr
5;top
5;i like it
4;bech njarbo
4;bien
5;produit est très efficace
5;Je suis très satisfaite de ce produit
5;nheb nzid nechri menou
4;je recommende
5;🤍🤍🤍🤍🤍
5;Top du top
5;my fav
5;Il laisse ma peau douce et hydratée, avec une sensation de fraîcheur durable. Facile à appliquer , il est parfait pour un soin rapide et efficace.
4;Meilleur produit
5;Tahfoun 3alle5er
5;bien
3;le médecin que j’ai visité m’a recommandé ce produit . J’ai une peau mixte
5;good
5;À utiliser sans hésitation
5;stamaltou behi
5;mezel andkom menou?
5;soum maakoul
5;toujours disponible?
5;Un des meilleurs pour moi
5;"GOOD QUALITY
✨✨"
5;top
4;efficace
5;Mon coup de cœur
4;Efficace
4;good
4;efficace
3;super
4;Good
4;Wow
3;J’adore
5;La qualité top
2;Pas mal
4;bien
3;excellente
5;la meilleure
4;bien
5;top
4;un produit top
4;top
2;trop pauvre pour acheter de l’eau en cannette
5;apaisante après les coups de soleil
5;toop
5;rafraichissant
5;Good quality.
5;Incr !
2;Doux sur la peau mais spf chwaya
3;moyen
5;bonne qualité
4;super
5;Good quality
4;super produit
4;GOOD QUALITY
5;bien
4;très agréable à utiliser , et non gras
3;excellent
5;efficace
4;toop
5;topppp
5;efficace
4;super
5;Good quality.
5;veryyyyyyy good
5;Top
5;Top
4;good job !
1;duré d’utilisation : 3 mois w mal9iit 7atta résultats
3;bonne qualité
5;efficace contre les imperfections
4;top
2;good ingredient but not for very sensitive skin
4;good
4;Good
3;moyen
5;J’adore
4;je recommande le produit
4;good
5;good quality
4;toppp
3;i’m gonna try it
4;great
3;moyen
5;en cours d’utilisation
5;very good
5;super
3;bien
5;Magique
5;top
5;qualité top je recommande
3;la marque est top
5;top
5;Top
5;Je recommande
5;good
5;Topp
5;excellent rapport qualité prix
4;not bad
3;GOOD
4;efficace surtout aprés l’épilation
5;je recommande le produit
5;Je recommande bientôt
5;Good quality.
5;Good
5;This one is the best
5;i’ve been using this for 3 years
5;Good quality
5;je recommande pour peau grasse
5;top
5;the best
5;Top
5;je recommande le produit
4;👍​👍​
5;Top
5;top très bonne hydratation
5;top,  hydrated very well
5;efficace hydrate bien la peau
5;Efficace
5;parfait 👍🏻
5;Génial
5;yecer tayara franchement
5;nesta3mel fih mche maya
5;excellent
4;the smell is so good
3;"يلزم تنزل عل tube
بالقوي
ختارتو خاتر فيه زبدة الشيا"
4;je recommande !
5;soum maakoul
4;bech njarbha
4;Je suis très satisfaite de ce produit
5;nheb nzid nekhou
1;trop cher pour rien
1;je le recommande pas pour peau hyper sensible
5;❤️
5;<3
4;yess
5;🤍
5;tooop
4;❤️❤️❤️
4;good product
4;Serum excellent
3;rapport qualité prix
4;"Les résultats sont clairs après une utilisation continue
un bon rapport qualité prix"
4;Bnna
3;avis mitigé , texture un peu bizarre
4;J’aime ce produit
5;andi barcha nestamel fih
5;Je recommande bientôt
5;bon produit
5;Good quality. Tunis mourouj 2
5;top ❤️❤️❤️❤️
5;top
4;top
4;goood
4;Bon produit
5;top
3;"top
 doux sur la peau"
5;top
4;TOP
5;efficace pour la peau sèche
4;top
5;tooop
5;Un des meilleurs pour moi
5;soum behii
5;Un des meilleurs pour moi
5;top
5;❤️
5;top
4;Tres bien, Ca marche pour peau grasse
4;top
5;parfait
5;wow j’adore
4;❤️❤️❤️
3;bien
4;<3
1;bad
2;Il n’est pas très efficace
4;parfait
4;tres bon
5;Good quality.
5;Good
5;trés bon rapport qualité prix
4;Top
4;super
5;Je recommande
3;top
3;top
2;tzayet wejh barsha
4;pas mal
4;super
5;Good quality.
4;Toaap
5;pas cher et efficace , c top
4;bon produit par rapport qualité prix
5;bon rapport qualité prix
4;efficace
5;soum behii
5;ejebni bech nawed menou
5;Good quality.
5;efficace
5;top
5;A really good product
1;😍
5;nesta3mel fih mche maya
5;encore dispo??
3;cv ta7foun
5;tp
5;je le recommade
5;raw3a
3;cv
4;Je le recommande,c’est mon gel préféré
4;yes
3;Cv
5;Je veux repasser commande
5;j’adore
5;Ce produit est parfait pour les peaux acnéiques je l’ai essayé ma peau est devenue plus saine
5;Excellent produit
5;il est le meilleur
4;Idéal pour les peaux acnéiques
5;top
5;Top
5;top
5;topppp
5;top
5;top
5;Je continue à acheter ce produit
5;je recommande vivement !!
5;stamaltou behi
5;je l’ai utilisé il est bien
5;encore dispo??
5;comment l\’utiliser?
5;À utiliser sans hésitation
3;Good quality. thanx
5;Good product
5;"good quality
rihtou bniina
ynathf w maychayahch l wejh"
2;Top
5;Good quality
5;❤️❤️
5;top
5;wakteh yarjaa en stock?
5;le prix tayara
5;dispo?
5;je le recommande
4;Trop bon
4;Good for double cleansing
3;👍
5;Good
5;good
5;👍
5;nice
5;je recommande
5;tayara
4;je recommande
5;top
5;très pratique pour lavage quotidien de visage
5;mche maya
4;franchement toppp
4;👍🏻👍🏻
4;bon produit pas plus
4;Top
5;bon produit
5;top
5;Coup coeur
5;Top
4;Top♥
5;top
5;super
5;Good quality.
4;top
5;tres efficace
4;la qualité et l’efficacité  dans un seul produit
4;suuupeeerr😍
5;efficace
5;super
5;un bon produit pour les acnés et les inperfections
5;Top
5;topppp
5;impeccable comme base de maquillage
5;Je recommande bientôt
5;Je recommande bientôt
5;ejebni bech nawed menou
5;c efficace
5;c’est le meilleur de toute la gamme
5;je recommande bientôt enchalah
5;Top
5;Je recommande vivement
5;Ce top je valide
4;Super
4;superrrrr
5;efficase
5;🤍🤍🤍🤍🤍
5;excellent
4;j’aime ❤️
4;top
5;…
5;want to try <3
5;efficacité
5;j’ai toujours été heureux
4;super
4;top
5;top
4;super hydratant
4;Top
5;hydratation intense
5;good
4;Je recommande 💕
2;Pas mal
5;top top top
4;🤍
5;je recommande
5;good
5;toop
3;svr top
5;produit top
4;i ll try it soon 🙂
5;g
5;je recommande
2;ideal pour peau normal
3;++
5;Perfect
5;Gft-bak
5;Good
4;Une excellente marque
4;efficace
4;Excellent produit local
5;j’aime
3;.j.j.j.j.n
5;Parfait
3;Pas mal par rapport à son prix 🤷🏻‍♀️
4;parfait
4;excellent pour une marque tunisienne
5;Je recommande
5;The best one for oily skin
5;excellent
5;The best
4;excellent produit
5;In one word, this product lift from Vichy is just a skin champion
5;top
4;Bravoo
3;il ne vaut pas son prix aucun effet sur les ridules
4;effet miracle
4;sérum tooop
5;❤️❤️
5;Jai bcp aimée
5;stamaltou behi
4;elle es top cette marque
5;great
5;good
4;good
5;"J ai une peau extrêmement sèche et ce produit m’a vraiment trop aidé
a nourrir et hydrater ma peau, il sens bon et apporte un eclat remarquable au visage je le recommande vivement ."
5;"i really like it
might feel oily at first but then dries down and feels hydrating"
5;sits very well under makeup
4;thesou oily melowl ama fisaa yochrbou l wejh
2;toute la gamme est moyenne
3;ta7foun
5;parfaite pour les peaux grasses, ne laisse pas un film gras
5;je recommande vivement !!
5;rapport qualité prix behi
5;Top
4;bon produit
5;parfait
4;g
4;doux
5;top
5;Très efficace
5;Très bon produit
3;Le produit n’est pas vrt à l’attente de ses promesses. Protège cobtre le soleil sans atténuer les tâches
5;Good quality.
4;"toujours en repture ?
excellent 👌🏻"
5;excellent
5;À utiliser sans hésitation
5;Jai bcp aimée
4;produit est très efficace
5;Parmi les meilleurs à essayer
5;j’adore
5;je recommande
4;bahi
5;wow mahleh
5;toop
5;fait le job ❤️😊
3;😍
5;Nice
5;J’adore 🤩
5;texturé coton top et la matière aussi
5;باهي  هايل
2;Dima nichri
3;BIEN
5;Avene top
5;le meilleur gommage pour la peau sensible en tunisie
4;avene top
4;Top 🤩
5;Incr !
5;à recommandé
5;topp du top
5;résultats convaincants
5;pas d’effet encore
2;non bien
2;Top
5;efficace
5;Good quality.
5;super
4;tayara
4;TOP
5;behi barcha
5;Je continue à acheter ce produit
5;très satisfaite
4;I like it
4;merci bien
5;sublime
5;parfait
5;j’adoreeeee
5;ejebni bech nawed menou
5;tahfoun wmche maya
5;jarabtou behi barcha
5;mezel en rupture?
5;mche maya alekher
5;j\’adore
5;toujours disponible?
5;je recommande vivement !!
5;Good quality.  super tooop
4;Ya3ti éclat ma7leh
4;top
5;donne un éclat au visage
5;toujours disponible?
5;produit est très efficace
5;Je suis très satisfaite de ce produit
5;efficace
5;very good
4;♥️
5;The best
5;bon pour les ceux avec des taches
4;bon produit pour les peaux trés séches
4;GOOD
3;bon produit
5;Top
5;in love
5;❤️
4;parmi les meilleures crème hydratante pour la peau sensible , pas de rougeur ni brulure
3;effet moyen pas d’effet apaisant visible
5;comment l\’utiliser?
5;tayara !
5;Good quality.
5;le meilleur pour les peaux sèches et sensibles
5;Tayara
4;Le meilleur
5;wow
4;good
4;magnifique
5;ifata9
5;mezel andkom menou?
5;Je recommande
5;le produit est top
5;Super produit à essayer
5;Très bon
5;Hydrate en profondeur magnifique
5;efficace l peau sensible
5;bon produit
3;good quality
5;J’adore
4;produit excellent
3;pas mal
5;Produit super
4;Très bon
5;wakteh yarjaa en stock?
4;super
5;top
4;good
5;good product
4;haja top
4;The best !
4;J’adore !!
4;J’adore
3;j’aime
5;top
5;mche maya alekher
4;produit est très efficace
5;bon produit
5;à recommandé
4;yes
5;Parfait
5;Good
5;top cette marque
5;bon produit
5;nekmandi dima menou behi
5;Un des meilleurs pour moi
4;bon produit
4;Efficace
3;good
4;good for acne  skin
4;Good
1;Top
5;J’adooore
5;ça donne une bonne mine et une bonne texture
5;❤️
4;goodd
5;Produit impeccable
4;Top
2;les femmes savent bien qui est le top
4;J’ai apprécié la texture.
5;top
4;La meilleure
5;agréable
5;niceeee
5;super
5;Bien
4;good
5;je recommande
5;wow
3;tnahi les taches?
3;behia
5;je recommande !
4;le prix tayara
4;Yacer tayara w prix waw 🤩
4;je recommande
4;top
3;Topp
2;pas tellement
4;top
5;parfait
5;good
5;topo
2;metwast
4;Bien
4;Très bien
5;Top
5;Très très bonne
5;Belle huile qui sent très bien
5;the best
5;top
4;je prefere la version originale
3;marque tunisienne, une découverte  , je vais l’essayer inchallah
4;good
5;Pas mal
5;bon produit
3;odeur trés particuliere, le pot se finit vite
3;bon
4;good quality
5;Mchee barcha maa wejhi
5;super
5;eficace
5;gentle
4;good
5;je recommande
3;nouvelle découverte en cours d’essai
5;super
4;top
4;top
4;bech njarbo
5;je recommande le produit
4;mche maya
5;Top mshe maaya aalekhr
4;À utiliser sans hésitation
5;Wakteh toufa la promo?
5;Great quality.
3;bon produit
5;Produit excellent
5;nheb nzid nekhou
4;nesta3mel fih mche maya
4;souple 3al peaux yeser behi
5;nheb nzid nekhou
5;Top la promo !
5;soum maakoul
5;efficace surtout en hiver
5;c efficace
5;vraiment waw
4;nice
4;good 3jbni brcha
4;bon produit
5;Produit haut de gamme !
4;hydratante non collante
3;texture veloutée , ne convient pas aux peaux à tendance acnéiques
5;Avene top
4;efficace
5;top
5;Superbe belhak
5;top !  leger et apaisant
4;très bien
4;♥️♥️♥️
5;Excellent quality.
5;produit tayara
4;Je le recommande vivement
5;je le recommande
5;toppp
5;mezel andkom menou?
5;toujours disponible?
5;Wakteh toufa la promo?
5;jarabtou behi barcha
5;tahfoun wmche maya
5;bon rapport qualité prix
5;Je veux repasser commande
5;dispo?
5;Je recommande
5;Super produit à essayer
5;Je continue à acheter ce produit
5;super
5;Encore dispo?
5;Yhabel
5;Tres satisfaisant
2;Bon produit
2;Bon produit
5;good
5;J’aime beaucoup
5;efficace
5;Good
4;super pour les rides
5;jarabtou behi barcha
5;dima nekhouh wou naawd
5;Je continue à acheter ce produit
3;Soin Nuit Lissant
4;excellent
3;top
5;good 👍 👍
4;gooddd
5;Le prix est très raisonnable
4;franchement toppp
4;super
5;super
4;trop bien
5;good et quantité généreuse
5;toppp
4;gutttt
5;top
5;Good quality.
5;meilleurs produit
4;super
5;Ahsan wehd
5;Bon produit
5;Jai bcp aimée
5;Super produit à essayer
5;tahfoun wmche maya
5;top
5;je recommande vivement
5;Top
3;un bon produit ama youfa fisa3
5;Tres bon produit, ça hydrate super bien et ça protège la peau  , j’adore
5;Très Bon Produit
4;bon produit
5;Produit miraculeux contre les boutons, je recommande vivement
5;excellent
3;très efficace
5;the best
5;wakteh yarjaa en stock?
4;behi barcha
5;Top
4;❤️❤️❤️❤️
3;Un peu cher mais pour utilisation minimale et continue on voit des résultats qui dure
5;Top
5;mezel andkom menou?
5;nheb nzid nechri menou
5;behi barcha
5;vraiment top !
5;khthitou ejebni !
5;bfhi barcha
4;heyl brsha
5;Good
5;Good 🥰
5;Je recommande fortement
5;heeeyl
3;svr top
4;good product
5;top
5;top
5;good
5;Jai bcp aimée
5;comment l\’utiliser?
5;nheb wehed ekher
5;Je continue à acheter ce produit
5;Top
4;good quality
5;top
4;bon
5;❤️
5;bien
5;vraiment incroyable je recommande
3;top
5;La meilleure
5;Efficace
5;🤍
5;Je veux repasser commande
5;j\’adore
5;top
4;Top produit
4;bon produit resultat vu a long terme
5;bien
5;mezel en rupture?
5;Un des meilleurs pour moi
5;nesta3mel fih mche maya
5;Bon produit
4;produit efficace contre les tâches brunes
4;من أحسن المنتجات الموجودة في تونس ضد البقع الداكنة في الوجه
5;Wakteh toufa la promo?
5;très bon produit
4;top
3;recommandé par mon médecin esthétique pour éliminer les tâches (peau mixte )
3;merci
4;douce
5;excellent
5;efficace
3;toop
5;parfait
3;👍👍
4;👍
5;merci
5;je l’adore ❤️❤️
5;top du top !
4;behi barcha
5;toop
5;nheb nzid nechri menou
5;top du top !
5;Top
5;coup de coeur
5;top top
5;vraiment tayara
5;nekmandi dima menou behi
4;nheb wehed ekher
5;good
5;efficace
4;good
5;yo9tel
5;tayara lhak fatah lwejh bel behy f wakt ksir
5;tayara
5;top llpeau grasse
5;andi barcha nestamel fih
5;khthitou ejebni !
4;Jai bcp aimée
5;Bon produit
5;le prix tayara
5;Je recommande bientôt
5;Incr !
4;j’aimme trop
5;good
5;good
5;nettoie bien
3;j’adore
4;<3
5;<3 <3 i love
4;toppp
5;Très efficace contre les taches brunes
2;effet hydratant,mais l effet booster non ressenti après 3 mois d utilisation
5;je recommande
5;Excellent produit. je le recommande vivement.
5;top
4;top
5;Très bon
4;mche maya alekher
5;Good quality. mjareb
5;Good quality 🤷‍♂️
4;franchement toppp
5;nesta3mel fih mche maya
5;top
5;wakteh yarjaa en stock?
4;encore dispo??
5;tayara
5;manifique
5;coup de Coeur
5;100%
5;Je recommande le meilleure
4;Ne colle pas, excellent
5;mezel andkom menou?
5;soum behii
4;yecer tayara franchement
4;Vraiment top
4;Excellent
5;🤍🤍🤍🤍
5;J’adooore
4;efficase🩷
5;Efficace
5;top
5;Je recommande 💕
4;j’adore
3;bien
5;good
5;hydrate les lèvres
5;Je le recommande en plus il sent très bon
4;top
5;good
4;vraiment top !
5;le prix tayara
5;Top
5;ta7founa ..temchi yaser m3a l peau seche seche
5;BON PRODUIT TOOP
4;top
5;Top
4;😍🤩🤩
5;the best
5;rapport qualité prix behi
4;Super produit à essayer
3;ce produit nettoie la peau mais j’aime pas le fait qu’il n’est pas moussant donc a chaque fois j’éprouve le besoin d’ajouter plus de produit
4;j’adore bien
4;efficace nettoyage et hydrate bien
3;good
5;nheb nzid nechri menou
4;le produit est top
5;tooop
5;bon produit
2;3tahouli mon dermato et c top à recommander
4;toop
4;good
5;good 💯
5;good product, i recommend
4;toooop ❤️
4;je recommande
4;très bien 👍
5;My fav !
4;coup de cœur
5;🤍🤍🤍🤍
4;MON FAV
5;Good quality.
3;hydratant et apaisant , bon pour peau sensible
5;je l\’ai utilisé il est bien
5;dispo?
4;dispo
3;bien
5;Excellent 👌
4;Good
5;La meilleure
1;Je trouve pas leur utilité !
1;Effet rafraîchissant
5;Un des meilleurs pour moi
4;Je veux repasser commande
4;je commande
5;Je l’adore
4;+++
5;Top de top 💖💕
3;top
3;Good quality.
5;Bon qualite je recommande♥
5;🫶
2;Ça donne un éclat oui, pour ma peau grasse ne nettoie pas en profondeur
4;top
5;Incr ! Pour une peau mixte à grasse
4;Good
5;brhi
5;thabel
4;I like it
4;tanjah
5;❤️❤️ ❤️❤️
5;Top
4;la liste d’ingrédient semble très riche! j’aime
5;top
4;produit a conseiller
3;correcte
5;très bien
4;bien
5;good quality
5;khthitou ejebni !
5;comment l’utiliser?
5;top
5;top
5;❤️
4;Bon produit. j’aime bien car ne pique pas les yeux . pour un usage quotidien , il faut faire attention à la pointe qui peut s’assécher rapidement et donc bye bye à l’application précise
4;comment l’utiliser?
5;nesta3mel fih mche maya
5;the best
5;good
4;demaquille bien
3;bon
5;nheb wehed ekher
4;nheb nzid nekhou
5;super
4;Best gel nettoyant
2;pas top pour la peau grasse
5;the best
4;toujours disponible?
5;top du top !
5;Top
5;top
3;Je recommande pour peau sensible, mixte
4;BECH NKHTHOU SHAKROUH BARCHA
3;good ingredients
5;🙂
5;Good
5;parfait
5;magnifique
5;nice
4;super
4;Top
5;tooop
5;très hydratant. rajeunissement des mains
4;jaiimmmee
5;mezel andkom menou?
5;Je recommande
4;GOOD
3;Pour ma fille atteinte d’eczema , cela lui evite de se gratter. bonne hydratation .
4;good
4;extrême couvrance. ne bouge pas. ne donne pas de boutons. dure un an +++ vaut son prix. choix de teintes trop limités.
5;j’adore
4;parfait
4;bon produit
3;Good and heavy cream, I’m using it as a make up base (base de makillage)
3;bien
5;good
4;Good
5;résultat mawjoud
4;tayara !
5;bon rapport qualité prix
5;je recommande le produit
5;tayara !
5;le produit est top
3;bonne pommade
4;good
4;sa marche ✨️
5;ri7a fraiche thabel
5;qualité top
5;good marque
3;ma lkitsh resultat maaha lhkika
4;le produit est top
5;wakteh yarjaa en stock?
5;Idée cadeau pour les mamans très originale
5;efficace
5;Ce vernis a transformé mes ongles. Ils sont beaucoup plus forts et ne se cassent plus. De plus, il est parfait pour ma peau sensible.
4;Bon apaisant
5;magnifique
4;not bad
4;Top
3;excellent
5;produit est très efficace
5;Je continue à acheter ce produit
3;Ich mag  ♥️
3;bech njarbha
5;Top déjà nista3mil fih 👌🔝
5;un bon produit
5;Parfait , effet bonne mine
4;top
4;le produit est top
5;Jai bcp aimée
4;top
4;mch khayeb ama mch behi lel abed eli andha acne
3;marque uriage 💖
5;top pour les peaux sensibles
5;top pour moi 💗
3;Excellent mais un peu cher
4;super pour les peaux avec tâches brunes
5;Résultats approuvés, je le recommande
5;je le recommande
3;good
5;Bon Produit
5;Bon Produit
5;dima nekhouh wou naawd
5;Voilà le bon produit
4;bien
5;J’adooore
4;bien
3;ok
5;parfait
5;parfait
2;svr top
5;good
4;♥️♥️♥️♥️♥️
3;good
5;magique
4;efficace
5;andi barcha nestamel fih
5;Je recommande bientôt
5;Ta7fou
5;Wakteh toufa la promo?
5;toujours disponible?
5;Top
5;Très bon produit
5;Avène ❤️
5;top
3;yhabl
5;Avene top
4;très bien 😊
4;Top
5;efficace
5;très efficace
5;جيد
5;top top top
5;جيد جدآ
4;good
5;Top
5;ce produit est top .je ne change pas l’eau micellaire bioderma pour peau sensible
4;très bon produit.
4;tres bon rapport qualité prix qualité ! j l aime bien <3
3;Pas mal
3;un bon nettoyant
4;excellent
5;je l’adore
5;top top toppp
5;nheb nzid nekhou
5;j\’adore
4;j’espère
4;super
5;qualité top
5;raw3a
5;good
5;top
5;top top
4;super
5;je recommande ♥♥♥
5;Top
2;Bon normale
5;top du top tres doux et hydratant
5;mon préféré
5;Je recommande
4;Idéale pour les peaux mixtes à grasses
2;mat
5;tayara
5;the best
5;the best
5;Je le recommande !
4;bon produit
4;qualité produit tayara
5;j adore
3;bech najrbha
5;topppp
5;great one
5;mche maya
4;mche maya
5;tayara !
5;khthitou ejebni !
5;top du top !
5;top
5;nesta3mel fih mche maya
5;nekmandi dima menou behi
5;je recommande le produit
5;encore dispo??
5;mche maya
5;nesta3mel fih mche maya
5;Good quality.
5;ifarhad
5;Je recommande alekher 🤩
4;toopp
4;bon
3;behi barcha
4;the besstt for meee
5;Meilleur anti cerne
3;😍
5;soum maakoul
4;je l’ai utilisé il est bien
5;magnifique ❤️❤️
5;parfaite Pour peaux sèches à très sèches
4;magnifique
5;khthitou ejebni !
5;ejebni bech nawed menou
5;jarabtou behi barcha
5;nesta3mel fih mche maya
5;produit est très efficace
4;topp
4;toop
3;top
4;behya barcha
4;bien
5;top
4;top
5;top bon produit
5;nice
4;toppp
5;nice
5;toujours disponible?
5;Le prix est très raisonnable
4;Je recommande
5;j\’adore
4;J’adore 🥰🥰
4;je recommande
5;top
4;super
5;bon rapport qualité prix
4;dispo?
3;produit doux
5;magnifique
5;Doux
4;je recommande pour peau hyper sensible
4;un bon produit
5;J’aime beaucoup l’originalité du produit💎❤️❤️
4;Je le recommende
5;Bien
5;❤️❤️❤️
5;Wow
5;Wow
4;❤️❤️
4;bech njarbha
4;Top
5;tooooop❤️❤️❤️❤️
5;j’adore
5;Je veux repasser commande
4;ri7tou bnina w ynadhef w ya3ti éclat ama lezem ba3dou crème hydratante pour les peaux sèches
4;❤️🥰 nice
5;toop toop
2;top
5;khthitou ejebni !
5;le produit est top
5;nheb nzid nekhou
5;Super produit à essayer
3;ok
4;nesta3mel fih mche maya
5;encore dispo??
5;Good quality.
3;Jarabtou et ta7foun
4;I like it
4;Je continue à acheter ce produit
5;Très bon
4;Trés nourissant , la peau est trés douce aprés
5;😍😍😍😍
4;☺️✨
5;excellent
2;pas de resultat
3;Efficace contre les taches brunes
5;j v confirmer
5;le plus efficace
4;Top
5;top
4;ce produit me donne un effet glowy tres beau apres l’application !!! et a long terme j ai remarqué la disparition des taches brunes
3;top
3;ce n’est pas miraculeux
5;Top
5;Meilleur produit
3;♥️♥️
5;mezel en rupture?
5;mche maya
5;j’ai bien aimé
3;efficace
5;nesta3mel fih mche maya
5;vraiment top !
5;efficace
5;je recommande produit authentique
3;Bien
4;correcte
4;bien
4;good
4;merci
4;toop
5;good product
5;je recommande vivement
5;😍😍♥️💖💖
5;je recommande vivement
5;super
4;good
4;Just wow
4;raw3a
5;super
5;soum behii
5;yecer tayara franchement
5;cette huile est incroyable!! son odeur est tellement bonne je pense a la boire parfois ahahaha et surtout que l’odeur se colle dans les vêtements et sur la peau aussi pour une tres longue durée
5;Bon produit
5;"bes oil for body !!
mon coup de cœur 😍"
5;Good
5;Mon meilleur produit top top effet bonne mine
5;génial
4;Super produit
4;un bon produit
5;il est top ❤️
5;L’effet se voit du premier mois, mais il faut continuer l’utilisation
4;Top
5;Perfect
5;top
3;good
5;bon produit
4;Top
4;tooop
5;andi barcha nestamel fih
5;nekmandi dima menou behi
4;bon
4;bien
5;nheb wehed ekher
5;produit est très efficace
5;le produit est top
4;Top
2;J’ai pas trop aimé
